M6	M7	A10	A1	C12	A8	C4	M10	C10	C7	A4	A9	M5	A15	M4	C6	C11	C9	M3	A5	A18	M9	A16	C3	A6	A7	M1	A17
0	1	0	0	0	0	2	0	0	1	1	0	1	1	0	4	0	2	1	5	0	0	0	0	0	1	0	0
0	0	0	0	1	0	29	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	20	2	0	11
0	12	14	3	0	0	0	7	0	0	2	0	4	0	0	3	0	0	6	0	0	0	10	0	0	0	0	4
0	17	4	0	0	2	0	9	0	0	0	3	2	0	0	1	0	0	7	1	3	1	0	0	0	2	16	5
0	0	0	0	0	0	38	0	0	0	1	0	0	0	0	0	0	1	0	0	0	26	0	0	0	6	0	0
0	0	0	26	2	0	3	0	0	0	0	0	0	0	0	0	5	32	0	0	0	0	3	0	0	0	0	0
0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	23	3	0	0	0	4	30	1	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0
0	0	0	34	0	0	1	0	0	0	1	0	0	15	0	0	0	3	3	0	0	0	0	0	0	11	0	0
0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	3	0	0	1	0	0	0	0	1	0	1	3	0	0	0	0	1	2	2	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	7	0
0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	2
1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	1	0	1	1	2	0	0
0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
1	1	1	0	0	0	0	1	0	1	0	2	0	0	2	0	0	0	0	0	5	1	0	0	0	0	0	0
0	0	0	7	2	0	4	0	0	7	4	0	50	1	0	0	0	31	95	0	0	0	6	3	65	20	0	0
0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	3	0
0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0
0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0
0	0	0	2	0	0	0	1	1	0	1	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
1	0	0	0	0	6	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	3	2	1	0	0	0	0	0
0	12	0	3	1	0	0	155	0	2	15	0	23	6	0	0	1	3	5	0	0	9	3	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0
41	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	1	0	32	0	0	0	0	2	0	14	0	0	0	0	26	0	0	0
2	4	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1
0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	3	0	0	3	0	1	0	0	0
0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	2	0	0	0	4	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0	0	0	1	0	0	0	0	1	1	0	0	0	3	0	0	4	1	0	0	0	0	1	1	0	0	0	0
0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	2	0	2	0	1
0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	3	3	0	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	2	2	0	0	0	0
0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0
0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
0	7	0	2	0	0	0	0	0	2	0	8	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	6
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0
0	2	6	4	0	0	1	0	0	1	0	0	0	0	0	0	0	1	4	1	0	0	0	1	3	2	0	3
0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	1	0	2	0	5	0	0	0	0	0	0	0	0	0	2	10	2	1	0	0	0	1	4	0	0
0	0	18	11	0	0	0	0	0	0	0	0	0	1	0	0	0	3	9	0	0	0	0	0	0	0	0	0
0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	1	0	0	2	1	0	0
0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
