029SS	116JS	129GP	46	215	300	023TD	077SF	193MR	152JF	179TH	115RW	HG113	043RB	063CG	149SD	HG237	282	843	895	2123	120NG	12	710	128TW	164JO	HG216	064DB	453	198LW
1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	9	0	0	0	0	2	0	6	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	18	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0
0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0
0	1	1	3	0	2	0	0	0	0	0	21	2	0	0	0	0	1	0	0	0	1	1	10	0	0	0	0	0	0
0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	5	0	3	1	0	0	0	0	0	0	0	0	25	1	0	1	0	4	0	3	0	0	0	0	0	0
0	0	0	7	0	0	1	0	0	0	1	2	1	2	2	1	0	0	2	1	0	1	2	3	0	0	2	0	7	2
0	1	0	6	3	1	0	1	1	0	4	0	0	0	0	0	0	4	3	4	0	0	1	7	1	1	0	0	3	2
0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
0	8	0	0	0	0	0	0	10	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	4	0	5	0
0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	1	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	3	0	0	0	0
0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	8	1	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0	11	0	0	0	0	0	2	17	0	0	0	10	0	0	0	0	13	0
0	0	2	7	1	0	0	0	0	0	0	19	10	0	0	0	0	2	0	9	0	0	4	0	0	0	0	0	0	0
0	0	0	0	0	0	6	0	0	0	0	13	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0
0	0	0	5	1	0	0	0	0	0	2	0	0	0	2	0	0	1	5	2	0	5	6	3	1	0	0	0	10	5
0	3	6	0	0	0	0	0	7	0	0	0	16	0	3	0	0	6	0	0	0	5	0	3	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	7	0	0	0	0	0	10	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	0	0	1	18	0	0	0	0	8	0
0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
