Ro2020s021	Ro2020s035	Ro2020s001	Ro2020s003	Ro2020s022	Ro2020s028	Ro2020s012	Ro2020s002	Ro2020s008	Ro2020s026	Ro2020s024	Ro2020s037	Ro2020s016	Ro2020s004	Ro2020s019	Ro2020s029	Ro2020s031	Ro2020s027	Ro2020s009	Ro2020s039	Ro2020s010	Ro2020s030	Ro2020s013	Ro2020s020	Ro2020s007	Ro2020s017	Ro2020s014	Ro2020s023	Ro2020s015	Ro2020s033	Ro2020s025	Ro2020s038	Ro2020s011	Ro2020s018	Ro2020s006	Ro2020s005	Ro2020s036	Ro2020s032	Ro2020s034
0	0	2	0	0	7	21	0	58	7	0	0	3	0	2	8	0	5	20	40	35	0	46	0	37	16	16	0	41	0	2	52	43	6	6	0	0	0	0
73	3	31	9	1189	146	10	12	3	84	403	0	58	11	80	72	16	40	10	0	2	17	7	107	4	6	0	711	6	28	406	0	6	85	51	62	10	35	12
76	0	14	18	5	16	16	5	12	0	44	0	36	31	63	33	0	8	34	0	24	0	12	71	10	10	2	0	25	2	49	0	12	54	12	33	0	3	0
15	0	2	0	0	6	0	0	0	3	2	0	7	2	14	0	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	27	7	8	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
0	0	0	0	7	5	0	0	0	2	3	0	3	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	2	0	0	0	1	0	1	0	2	3	0	0	0	14	0	0	0	0	0	21	0	0	0	0	0	0	2	0	2	16	0	0	0	0	0
0	0	25	7	0	0	0	3	5	0	0	0	0	16	0	0	479	0	4	3	5	694	0	0	5	2	0	0	2	1106	0	0	0	0	3	0	0	783	0
51	0	49	28	53	44	11	13	11	19	11	2	94	40	124	42	14	87	9	0	14	21	12	71	19	7	2	18	12	32	15	0	19	115	47	83	0	52	3
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	42	0	89	10	10	16	0	3	10	0	17	0	20	17	0	8	21	5	18	0	16	5	5	0	2	51	19	0	6	7	14	47	15	7	0	0	0
0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	8	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	5	0	0	0	3	0	0	0	0	0	0
2	0	5	0	0	7	4	0	7	0	0	0	0	0	0	21	0	10	10	0	32	0	7	0	0	2	16	11	11	0	0	1	20	7	3	0	0	0	0
0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0
