10251.E.B.3.1W	10251.E.LC.3.1W	10251.E.CS.3.1D	10251.E.B.1.3D	10251.E.LC.1.3D	10251.E.CS.1.3W	10251.E.CS.1.2D	10251.E.LC.1.2W	10251.E.B.1.2W	10251.E.CS.2.1W	10251.E.LC.2.1D	10251.E.I.1W	10251.E.B.2.1D	10251.E.B.2.1W	10251.E.I.1D	10251.E.CS.2.1D	10251.E.LC.2.1W	10251.E.B.1.2D	10251.E.CS.1.2W	10251.E.LC.1.2D	10251.E.LC.1.3W	10251.E.CS.1.3D	10251.E.B.1.3W	10251.E.LC.3.1D	10251.E.CS.3.1W	10251.E.B.3.1D	10251.E.B.3.3D	10251.E.LC.3.3D	10251.E.CS.3.2D	10251.E.LC.3.2W	10251.E.B.3.2W	10251.E.I.2W	10251.E.B.2.2D	10251.E.LC.2.2D	10251.E.CS.2.2W	10251.E.CS.2.3D	10251.E.LC.2.3W	10251.E.I.3D	10251.E.B.2.3W	10251.E.B.1.1W	10251.E.LC.1.1W	10251.E.CS.1.1D	10251.E.LC.1.1D	10251.E.CS.1.1W	10251.E.B.1.1D	10251.E.B.2.3D	10251.E.I.3W	10251.E.CS.2.3W	10251.E.LC.2.3D	10251.E.LC.2.2W	10251.E.CS.2.2D	10251.E.B.2.2W	10251.E.I.2D	10251.E.B.3.2D	10251.E.CS.3.2W	10251.E.LC.3.2D	10251.E.LC.3.3W	10251.E.CS.3.3D	10251.E.B.3.3W
2	0	929	306	2720	416	1801	0	0	430	2431	0	1639	216	108	502	0	220	439	2751	0	1357	0	984	0	447	680	0	1031	0	4	0	1339	1651	313	458	0	263	225	0	0	1711	1644	276	153	735	0	941	2542	0	378	159	60	465	0	2343	6	1135	11
0	0	0	4	0	0	0	0	0	0	12	0	0	0	13	5	0	0	0	0	0	7	0	0	0	0	0	0	12	0	0	0	0	22	0	0	0	5	0	0	0	0	0	0	0	2	0	0	78	1	0	0	19	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4384	2016	92	248	889	91	324	370	598	896	333	4174	303	0	330	50	0	104	218	1044	258	214	1129	1079	972	988	1331	2837	24	2162	4743	2411	679	389	754	42	0	564	246	1649	195	17	273	56	36	321	1655	1388	276	0	94	51	518	1577	396	652	1508	83	3133
0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	184	0	0	0	0	0	209	0	0	0	141	0	0	0	0	197	0	0	0	815	0	409	39	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	10	0	0	0	0	0	746	0	0	0	0	69	0	3316	0	0	0
157	0	0	145	0	120	0	0	85	967	0	111	476	55	0	0	1713	105	61	5	2	0	158	0	130	9	5	18	0	4	70	94	221	0	608	0	988	0	52	133	15	0	0	146	225	244	96	895	3	1457	0	18	0	12	51	0	0	0	96
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	385	0	0	0	0	0	0	0	0	114	0	0	19	0	283	0	0	0	0	0	102	0	0	0	0	11	0	0	0	51	2	0	33	0	5	0	0	0	0	0	0	200	15	0	0	3	0	15	0	0	2	0	75	0	0	0
0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
