SampleID	Groups
USDA2L	COLD
USDA2H	COLD
USDA2I	COLD
USDA2J	COLD
USDA2G	COLD
USDA2D	COLD
USDA2C	COLD
USDA2B	COLD
USDA2A	COLD
USDA2F	COLD
USDA2E	COLD
USDA1B	COLD
USDA1G	COLD
USDA1H	COLD
USDA1A	COLD
USDA1E	COLD
USDA1F	COLD
USDA1C	COLD
USDA1D	COLD
USDA1L	COLD
USDA1K	COLD
USDA1J	COLD
USDA1I	COLD
USSD2BC	COLD
USSD2AC	COLD
USSD2AB	COLD
USSD2AA	COLD
USSD2BB	COLD
USSD2BA	COLD
USSD1AA	COLD
USSD1AB	COLD
USSD1CC	COLD
USSD1CB	COLD
USSD1CA	COLD
USSD1BC	COLD
USSD1BB	COLD
USSD1AC	COLD
USSD1BA	COLD
USTE4A	COLD
USTE4B	COLD
USTE4C	COLD
USTE1A	COLD
USTE1B	COLD
USTE1C	COLD
USTE3A	COLD
USTE3B	COLD
USTE3C	COLD
USTE2C	COLD
USTE2A	COLD
USTE2B	COLD
CLVPC1	COLD
CLVPC2	COLD
CLVPC3	COLD
CLVPF3	COLD
CLVPF2	COLD
CLVPF1	COLD
CLVPC4	COLD
CLVPT1	COLD
CLVPM3	COLD
CLVPM2	COLD
CLVPM1	COLD
CLVPT3	COLD
CLVPT2	COLD
AUXP1AA	COLD
AUXP1AB	COLD
AUXP1AC	COLD
AUXP2AA	COLD
AUXP2AB	COLD
AUXP2BB	COLD
AUXP2BC	COLD
AUXP2AC	COLD
AUXP2BA	COLD
AUXP3AA	COLD
AUXP3AB	COLD
AUXP3BA	COLD
AUXP3AC	COLD
AUXP3BC	COLD
AUXP3BB	COLD
SAKR2	COLD
SAKR1	COLD
SAKR6	COLD
SAKR5	COLD
SAKR4	COLD
SAKR3	COLD
SASC5	COLD
SASC6	COLD
SASC3	COLD
SASC4	COLD
SASC1	COLD
SASC2	COLD
AUXP4AB	COLD
AUXP4AA	COLD
AUXP4BA	COLD
AUXP4AC	COLD
AUXP4BC	COLD
AUXP4BB	COLD
USLA2A	COLD
USLA2C	COLD
USLA2B	COLD
USLA1B	COLD
USLA1A	COLD
USLA1C	COLD
USLA3C	COLD
USLA3B	COLD
USLA3A	COLD
USLA4A	COLD
USLA4B	COLD
USLA4C	COLD
AUXP5AA	COLD
AUXP5AB	COLD
AUXP5AC	COLD
CNXA4A	COLD
CNXA4B	COLD
CNXA4C	COLD
CNXA1B	COLD
CNXA1A	COLD
CNXA1C	COLD
UYUM07	COLD
UYUM06	COLD
UYUM10	COLD
UYUM11	COLD
UYUM12	COLD
UYUM01	COLD
UYUM03	COLD
UYUM02	COLD
UYUM05	COLD
UYUM04	COLD
UYUM08	COLD
UYUM09	COLD
CNXA2C	COLD
CNXA2B	COLD
CNXA2A	COLD
CNXA3A	COLD
CNXA3B	COLD
CNXA3C	COLD
UYUC10	COLD
UYUC11	COLD
UYUC12	COLD
UYUC09	COLD
UYUC08	COLD
UYUC01	COLD
UYUC03	COLD
UYUC02	COLD
UYUC05	COLD
UYUC04	COLD
UYUC07	COLD
UYUC06	COLD
AUEP2BC	COLD
AUEP2BB	COLD
AUEP2BA	COLD
