St.acute.LHM002.1.U	St.acute.LHM026.1.U	St.acute.LHM032.1.U	St.chronic.LHM004.1.U	St.chronic.LHM011.1	St.chronic.LHM021.1.T	St.chronic.LHM025.1.U	St.chronic.LHM028.1.U	St.chronic.LHM030.1.U	St.chronic.LHM031.1.U	St.chronic.LHM034.1.U	St.chronic.LHM035.1.U	St.chronic.LHM036.1.T	St.chronic.LHM037.1.U	St.chronic.LHM042.1.T	St.chronic.LHM045.1.T	ST.N.LHM049.1	St.neg.LHM001.1	St.neg.LHM013.1	St.neg.LHM019.1	St.neg.LHM027.1	ST.P.C.LHM048.1.T	ST.P.C.LHM052.1.U	ST.P.C.LHM062.1.U	ST.P.C.LHM063.1.T	ST.P.C.LHM065.1.T	ST.P.C.LHM069.1.U
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0
4	0	1	1	1	1	1	3	0	1	0	0	0	0	1	1	0	1	11	0	0	0	6	5	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	31	0	0	0	0	0	0
0	0	3	8	0	0	5	0	3	4	6	3	0	0	3	0	0	0	0	0	0	0	0	3	0	0	7
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	24	2	10	6	2
0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	5	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	4	0	0	0	0	1
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
1	0	1	0	4	3	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	11	1	0	0	0
1	0	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11
1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1	0	0	2	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	5	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	3	0
0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	6	11	6	7	14	3
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	13	6	0	6	0	0
0	0	2	0	0	4	0	0	1	0	0	4	0	0	3	2	0	0	0	0	0	0	0	1	3	24	0
0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	58	0
0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	4	0	1	1	0	0	0	2	2	3	1	3	0	0	1	1	0	3	8	1	0	2
0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	53	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0
0	3	0	0	8	0	0	0	0	6	1	1	1	3	2	1	17	0	0	0	0	0	171	26	81	31	18
2	0	0	1	0	0	0	0	0	3	0	1	3	0	1	0	0	3	0	0	0	0	1	1	2	0	0
0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	19	0	1
0	0	49	2	0	27	23	43	1	16	0	3	0	0	108	44	0	0	0	0	0	0	87	0	0	0	0
3	3	1	3	6	5	4	0	0	6	8	2	1	12	0	13	42	30	2	0	13	3	8	31	47	13	3
3	2	4	1	5	3	7	11	10	13	5	13	0	0	7	2	0	1	5	0	3	0	25	172	2	7	7
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	1	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	14	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	6	0	1	0	5	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	19	0	0	0	0	13	17	16	13	36	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	7	0
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0
3	0	0	5	3	1	0	3	0	3	1	0	0	0	0	1	0	2	4	0	0	0	3	3	1	0	0
0	0	0	0	2	0	2	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	35	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0
2	0	0	3	3	0	1	3	0	0	2	1	1	0	1	3	0	1	0	0	0	0	4	3	1	0	2
0	0	0	4	0	0	0	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	1	0	0	0	2	1	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0
9	0	0	0	2	6	10	1	0	21	36	7	14	20	5	0	0	13	3	0	0	0	13	76	17	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	7	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	498
0	4	0	0	1	7	0	4	0	0	7	0	7	0	14	0	1	1	0	0	72	0	0	47	18	11	0
0	0	64	0	13	34	1	0	6	10	6	3	6	0	0	10	0	0	0	0	0	0	66	251	7	0	0
8	0	6	3	0	6	6	5	2	11	39	12	66	0	46	0	0	0	48	112	0	0	22	34	0	0	0
0	0	0	0	0	0	0	0	13	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	209
6	0	0	12	3	2	3	9	0	25	42	10	3	1	0	4	14	2	0	0	10	29	42	51	52	3	38
0	0	25	9	44	11	22	29	4	31	18	0	0	0	0	17	0	0	0	0	0	0	108	52	89	0	30
0	0	1	59	110	0	15	0	0	14	0	4	0	0	0	0	0	0	0	0	0	0	239	0	1	0	0
8	4	1	6	12	16	12	12	6	7	10	7	3	5	9	8	113	5	0	5	16	30	43	32	31	0	7
0	0	0	46	84	13	46	0	0	121	0	0	0	0	0	131	0	0	0	0	0	0	0	48	25	0	0
4	0	0	3	11	49	18	9	1	14	40	25	13	0	6	0	0	0	1	0	0	3	35	95	2	2	9
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	28	0	439	0	0	0	0	0	0
146	0	1	2	0	0	0	3	0	2	2	0	1	0	14	3	0	2	2	0	0	0	4	5	2	0	2
0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	679	0	0	0	0
0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	592	0
0	0	0	0	0	73	1	2	0	1	0	8	5	8	2	29	0	37	0	19	0	0	30	54	176	0	6
0	0	12	0	0	2	0	25	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	600	0	0	0
1	7	2	1	1	2	2	0	0	18	0	3	0	7	2	6	374	4	0	0	37	12	3	0	2	0	3
0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	2	6	1	4	0	0	3	0	0	0	0	0
6	5	10	5	9	11	9	4	9	8	12	7	7	1	3	21	103	2	0	0	3	0	70	37	100	52	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
31	0	0	0	0	3	3	0	0	0	0	0	0	21	1	8	0	3	1	6	17	39	2	0	38	23	16
7	186	0	1	0	0	21	0	0	0	0	0	0	0	0	0	772	0	0	4	0	3901	1	0	0	36	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	3	1
2	0	0	3	0	0	1	1	1	8	2	0	1	0	1	0	1	0	0	0	0	12	5	2	17	2	2
0	0	2	0	0	2	2	0	5	1	1	3	2	0	2	0	0	0	0	2	0	0	15	11	8	0	3
0	0	2	0	0	7	0	0	14	0	0	3	2	0	0	2	0	0	0	0	0	0	25	5	13	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0
1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	13	0	0	0	0	0	12	5	19	6	0
0	0	0	0	1	1	0	1	3	0	5	0	0	0	16	0	0	0	0	0	0	0	36	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	7	21	30	0	1
0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
0	10	4	0	0	6	3	2	14	17	11	4	2	0	1	6	0	0	0	0	0	83	44	40	0	0	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	19
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	14	1	0	0	0	4
0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
0	0	0	0	0	0	0	3	9	6	1	4	0	0	1	0	0	0	4	0	65	0	50	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	21	0
0	0	0	1	1	1	1	0	0	1	0	0	2	0	1	0	0	3	1	0	0	0	3	2	0	0	0
2	0	0	0	2	1	0	2	0	0	8	0	3	10	0	1	0	0	19	0	0	4	0	26	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	125	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0
0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	2	3	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0
0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	4	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
1	1	1	1	0	2	0	0	1	2	0	1	0	1	0	1	2	1	3	0	0	2	0	0	1	0	1
3	0	1	1	0	0	0	1	0	1	2	0	1	0	2	1	0	3	1	0	0	0	0	4	0	0	0
0	0	2	0	0	0	0	0	0	0	0	1	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	2	1	0	0	0	1	0	2	1	0	2	0	0	2	2	0	0	0	3	3	2	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	2	1	6	0
0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	4	0	0
0	0	0	0	0	0	0	0	9	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	0	1	1	0	1	2	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	3	10	0	0	0
2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	1	2	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0
0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	5	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	59	0	0	0	0	0
0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	9	0	0	0	2	5	1	0	4	0	2
