79CMK8KO	97CHE6WT	27CMK6WT	23CMK6WT	41CMK8WT	105CHE6WT	63CMK8WT	89CHE6WT	55CMK8HET	67CMK8WT	115CHE6KO	11CMK6WT	84CHE6KO	77CMK8WT	83CHE6KO	73CMK8WT	8CMK6KO	66CMK8WT	6CMK6WT	52CMK8WT	29CMK6WT	93CHE6WT	74CMK8KO	81CHE6WT	92CHE6KO	99CHE6KO	60CMK8KO	114CHE6WT	103CHE6KO	33CMK6WT	4CMK6KO	24CMK6KO	44CMK8KO	64CMK8KO	21CMK6WT	86CHE6WT	88CHE6KO	13CMK6HET	47CMK8KO	40CMK6WT	57CMK8WT	76CMK8WT	90CHE6WT	104CHE6KO	59CMK8WT	111CHE6KO	51CMK8WT	75CMK8KO	35CMK6KO	112CHE6KO	9CMK6KO	65CMK8KO	78CMK8KO	100CHE6KO	1CMK6WT	16CMK6KO	61CMK8WT	95CHE6KO	72CMK8KO	28CMK6KO	110CHE6WT	7CMK6KO	43CMK8WT	38CMK6KO	53CMK8HET	107CHE6KO	20CMK6KO	39CMK6KO	48CMK8KO	87CHE6KO	22CMK6KO	36CMK6WT	69CMK8WT	91CHE6KO	37CMK6WT	2CMK6KO	80CMK8WT	19CMK6WT	15CMK6HET	49CMK8KO	45CMK8WT	3CMK6WT	42CMK8KO	12CMK6WT	96CHE6KO	54CMK8KO	106CHE6WT	30CMK6KO	32CMK6KO	5CMK6WT	62CMK8KO	94CHE6WT	71CMK8WT	10CMK6KO	56CMK8KO	50CMK8KO	116CHE6KO	101CHE6WT	58CMK8KO	46CMK8WT	82CHE6WT	68CMK8KO	18CMK6KO	98CHE6WT	108CHE6KO	109CHE6WT	34CMK6KO	85CHE6WT	14CMK6KO	102CHE6WT	113CHE6WT	26CMK6WT	25CMK6KO	17CMK6WT	70CMK8KO
445	602	1106	1858	2287	319	311	773	955	1130	744	1348	695	1065	394	941	889	608	1025	1737	910	590	1078	872	1061	1160	1685	1187	580	1716	1994	1964	2044	860	1806	1114	852	663	410	103	667	1355	1449	958	1414	931	444	632	595	1245	852	1430	703	716	1928	1006	1022	506	1296	2261	967	1051	1592	302	1365	1209	1137	338	1393	1030	2158	1314	1064	943	691	2378	428	2066	692	1512	1334	2122	2676	1159	678	1229	594	1899	540	1017	1212	607	889	1175	1117	2034	715	699	1151	951	766	811	1160	1049	896	732	625	1072	708	408	684	1041	1866	876	1566
394	14	465	507	166	145	0	83	138	194	91	184	158	19	171	112	28	176	125	57	235	221	377	47	74	92	144	113	91	42	116	499	234	142	117	191	85	187	77	1229	33	223	125	223	207	273	2	13	19	149	83	508	247	51	311	78	16	39	210	312	74	151	365	124	195	17	111	156	219	376	410	250	292	69	196	21	654	70	75	135	183	107	322	83	28	97	259	520	49	213	190	59	109	26	44	2	80	98	202	106	151	49	111	116	117	129	222	140	142	96	244	288	624	0	161
361	91	840	873	776	98	137	35	245	697	61	447	27	422	37	367	456	338	416	744	704	97	416	28	42	113	490	127	35	411	379	819	862	358	432	88	73	372	110	1011	187	573	118	75	121	170	502	231	319	126	223	612	606	112	446	296	150	92	689	610	82	275	535	293	365	178	283	401	416	75	536	553	517	64	653	154	787	541	135	340	588	446	352	598	76	615	229	457	495	427	375	63	396	295	374	147	64	29	411	229	33	508	344	114	141	59	338	88	354	45	74	372	611	407	485
279	0	400	95	301	0	104	0	155	364	0	61	0	153	0	179	218	226	231	203	467	0	356	0	0	0	124	0	0	245	128	292	188	238	67	0	0	78	126	313	12	291	0	0	77	0	153	159	292	0	137	418	469	0	200	167	76	0	313	351	0	155	308	256	147	0	144	74	332	0	301	119	279	0	185	58	432	49	170	82	278	213	338	125	0	360	0	315	283	298	191	0	221	139	256	69	0	0	190	194	0	100	233	0	0	0	285	0	243	0	0	90	494	27	375
261	68	945	456	395	15	357	95	191	611	80	405	122	218	122	404	415	364	239	303	396	82	342	89	130	138	491	146	131	372	249	426	670	268	459	35	9	224	75	986	137	410	139	90	851	2	335	118	257	0	269	505	360	56	328	277	555	118	477	830	32	212	493	311	211	111	440	147	93	35	352	294	346	118	335	88	465	561	299	181	375	465	196	356	80	524	70	462	455	441	217	46	53	236	371	186	104	4	509	356	37	163	459	107	103	48	415	22	503	63	106	511	1257	154	245
232	0	112	37	177	0	2	0	8	138	0	187	0	96	0	286	9	73	17	91	119	0	61	0	0	0	179	0	0	224	3	275	243	161	15	0	0	26	35	180	19	631	0	0	113	0	158	69	229	0	74	117	328	0	14	53	35	0	586	365	0	44	80	138	56	0	50	148	147	0	170	189	111	0	128	0	113	147	120	226	471	18	123	12	0	274	0	32	284	157	107	0	372	373	67	23	0	0	262	36	0	41	85	0	0	0	61	0	40	0	0	172	57	0	205
191	0	143	19	200	0	35	0	55	237	0	47	102	84	151	10	57	283	3	127	125	0	8	64	0	0	11	0	0	16	21	251	24	118	11	0	0	60	18	630	2	140	0	0	0	0	19	32	182	0	36	136	239	0	48	148	0	0	13	61	0	23	37	89	85	0	65	74	86	0	78	111	76	0	97	13	357	3	15	58	113	200	54	31	0	67	0	0	76	31	84	0	95	48	100	24	0	0	116	33	48	106	50	0	0	0	72	0	68	0	0	136	167	3	35
183	10	165	23	174	10	76	27	176	175	2	19	28	135	23	99	26	118	36	155	172	24	106	31	21	23	113	20	0	144	202	353	176	184	36	5	7	156	34	332	5	224	25	7	122	16	50	77	33	11	141	219	160	3	76	206	2	17	46	324	5	36	68	56	276	5	67	95	60	6	351	262	113	14	112	67	221	37	92	188	77	180	325	71	9	17	5	8	10	91	132	2	126	151	187	262	1	19	133	127	23	115	108	22	12	0	9	2	136	0	8	154	320	125	106
172	0	71	108	166	0	13	0	67	204	0	87	0	73	0	26	179	149	23	69	134	0	50	0	0	0	255	0	0	66	6	135	126	68	81	0	0	80	73	107	21	141	0	0	60	0	50	50	110	0	47	163	340	0	28	158	46	0	109	184	0	62	136	57	43	0	168	67	168	0	237	31	46	0	22	185	151	134	107	39	123	31	99	53	0	191	0	20	212	120	113	0	72	62	62	110	0	0	135	139	0	127	150	0	0	0	134	0	204	0	0	70	158	38	125
166	35	180	14	188	22	64	114	209	228	12	35	157	92	99	115	25	170	48	186	207	111	142	155	62	67	138	64	26	191	219	325	188	161	42	47	42	146	27	304	0	180	189	49	111	55	31	87	26	53	157	251	188	11	49	191	11	61	45	406	9	18	91	53	325	34	92	70	80	38	308	278	166	107	123	117	251	58	104	166	94	170	393	56	99	27	29	11	9	103	195	51	119	221	193	287	32	69	121	144	107	99	102	122	18	11	2	28	125	32	51	178	338	107	113
