SampleID	Groups
1030.TVF.Control.Loc3.D0.Rep1	Control
1030.TVF.Control.Loc3.D0.Rep2	Control
1030.TVF.Control.Loc3.D0.Rep3	Control
1030.TVF.Control.Loc3.D0.Rep4	Control
1030.TVF.Control.Loc3.D0.Rep5	Control
1030.TVF.Control.Loc3.D10.Rep1	Control
1030.TVF.Control.Loc3.D10.Rep2	Control
1030.TVF.Control.Loc3.D10.Rep3	Control
1030.TVF.Control.Loc3.D10.Rep4	Control
1030.TVF.Control.Loc3.D10.Rep5	Control
1030.TVF.Control.Loc4.D0.Rep1	Control
1030.TVF.Control.Loc4.D0.Rep2	Control
1030.TVF.Control.Loc4.D0.Rep3	Control
1030.TVF.Control.Loc4.D0.Rep4	Control
1030.TVF.Control.Loc4.D0.Rep5	Control
1030.TVF.Control.Loc4.D10.Rep1	Control
1030.TVF.Control.Loc4.D10.Rep2	Control
1030.TVF.Control.Loc4.D10.Rep3	Control
1030.TVF.Control.Loc4.D10.Rep4	Control
1030.TVF.Control.Loc4.D10.Rep5	Control
1030.TVF.Control.Loc5.D0.Rep1	Control
1030.TVF.Control.Loc5.D0.Rep2	Control
1030.TVF.Control.Loc5.D0.Rep3	Control
1030.TVF.Control.Loc5.D0.Rep4	Control
1030.TVF.Control.Loc5.D0.Rep5	Control
1030.TVF.Control.Loc5.D10.Rep1	Control
1030.TVF.Control.Loc5.D10.Rep2	Control
1030.TVF.Control.Loc5.D10.Rep3	Control
1030.TVF.Control.Loc5.D10.Rep4	Control
1030.TVF.Control.Loc5.D10.Rep5	Control
