199A	132A	026A	102A	184A	165A	074A	031A	150A	003A	151A	012A	127A	008A	030A	009A	131A	027A	139A	041A	156A	025A	142A	106A
0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
0	0	0	0	0	0	0	0	8	0	0	0	0	0	6	0	2	0	2	2	0	0	0	0
1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	4	0	0	0	0	0	2	0	0
0	0	0	0	0	0	2	6	0	0	0	6	0	0	4	0	4	0	4	0	10	0	0	2
0	0	0	2	0	0	4	2	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
0	4	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	2	10	0	0	0	0	0	2	0	12	0	0	0	0	0	0	0
2	48	0	8	0	0	0	288	0	0	0	328	6	0	42	0	0	0	278	0	0	2	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0	8	0	0	0	0	7	0	0	0	0	0	0	0	0	26	4	0	0	0	0	0	0	0
0	15	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0
0	0	0	11	1	0	0	0	4	0	4	0	0	0	0	0	0	0	0	9	4	0	0	0
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0	5	0	0	0	0	0	8	4	0	0	10	16	0	0	2	10	0	12	0	46	3	0	0
0	3	0	2	0	0	0	0	12	0	0	0	0	0	14	0	0	0	0	0	6	0	0	0
0	0	0	0	0	0	1	0	6	66	0	0	0	2	1	0	0	26	2	0	0	0	0	0
0	0	0	0	0	0	20	2	24	2	0	0	0	0	20	0	0	0	4	0	0	0	0	126
0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0	2	0	2	0	0	0	18	6	0	0	29	4	0	0	0	0	0	8	2	28	1	0	0
1	0	0	36	0	0	0	0	0	0	2	4	0	0	0	0	2	0	0	124	0	2	0	0
0	3	64	0	2	0	6	0	4	2	0	0	0	0	21	0	0	0	42	0	2	0	0	0
0	0	0	2	0	0	2	6	0	0	0	2	0	24	0	0	4	0	0	0	0	0	0	0
5	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	10	28	0	6	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	2
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	4	2	0	0	2	0	0	6	0	0	0	0	3	0	0	0	0
0	3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	4	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0	2	2	0	0	0	0	0	0	4	0	0	0	6	0	2	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	20	0	0	0	0
0	0	0	0	0	0	2	2	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0
0	2	0	4	0	0	0	8	4	0	0	0	0	0	0	2	10	0	2	0	4	0	0	0
0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	16	0	0	0
0	0	0	0	0	0	2	0	2	0	0	4	0	0	0	0	0	0	2	3	0	0	0	0
0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0
0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	9	0	0	0	4	0	0	2	0	0	0	0	0	0	0	3	3	5	0	0
0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	6	0	0	5	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	22	0	0	0	0	2	0
0	20	0	87	0	0	1	0	0	0	4	0	0	4	0	0	0	0	0	13	0	0	0	0
0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	44	0	0	0	0	0	0
0	0	0	2	0	0	3	0	12	0	0	4	0	0	2	0	0	0	0	10	0	0	0	0
1	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	14	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
0	2	0	0	0	0	0	10	0	0	0	8	0	0	0	0	0	0	2	0	0	1	0	0
0	0	0	0	0	0	0	0	4	12	0	0	0	0	0	0	0	8	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	14	0	0	0	2	0	0	0	0	0	0	2	0	5	0	0	0
0	0	0	0	0	0	0	0	10	0	0	2	0	0	0	0	2	0	4	0	0	0	0	0
0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	2
0	4	0	0	0	0	0	10	36	0	0	20	0	15	0	6	8	0	8	0	6	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
0	0	0	4	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
0	0	2	0	4	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	2	48	2	0	0	0	0	0	0	18	2	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	4	0	0	0	0	0	0	0	0
0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0
6	0	0	0	0	0	0	2	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0
0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
0	5	4	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0
0	0	0	0	0	0	0	4	2	0	0	2	0	0	0	0	6	0	2	0	2	0	0	0
0	0	0	2	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
0	6	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	4	0	0	0
0	0	0	0	1	21	10	0	50	804	12	0	0	13	1	2	0	500	18	0	26	0	0	0
0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	12	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0
0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	0	2	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	4	2	0	0	0
0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0
0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	0
0	16	0	2	0	0	0	46	104	0	0	60	8	32	10	26	22	0	56	12	54	0	0	0
0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	4	6	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	12
0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	2	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	0
0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
0	5	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	2	0	6	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	12	27	0	5	0	0
0	0	0	14	0	0	2	2	0	0	0	0	0	13	0	0	0	0	2	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	10
0	20	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	2	0	0	2
0	0	0	0	0	0	8	2	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	6	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0
0	0	0	12	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0
0	0	0	0	0	0	2	2	0	0	0	0	0	0	16	0	0	0	2	0	0	0	0	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2
0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0
0	0	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
0	0	0	0	0	0	14	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
0	0	0	0	0	0	0	0	6	0	0	0	2	0	2	4	6	0	0	2	0	1	0	0
0	0	0	0	0	0	0	12	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	10	0	0	0	0	0
0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8
3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0
0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	14	0	0	0	0	0	0	0	2
1	0	0	4	0	0	13	2	6	0	2	8	0	2	6	0	0	0	6	7	0	1	0	0
1	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
0	0	0	0	1	0	0	8	0	0	0	0	2	0	0	0	0	0	2	0	3	0	0	0
0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	18	0	1	18	0	0	4	16	0	0	0	1	0	0	0	16	0	0	0	0	12	0
2	0	0	2	0	0	2	2	0	0	0	0	0	0	59	0	2	0	8	0	0	0	0	28
2	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	14	0	0
0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	6	0	0	0	0	0	0
0	0	0	0	0	0	0	4	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0
0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0
0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0
0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	2	0	0	4	0	8	0	0	0	0	0	18	0	0	0	0	2
0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	2	1	0	0
0	0	0	0	0	0	0	0	4	0	2	0	20	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0
0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
0	0	0	0	1	0	0	2	4	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0
0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	5	0	0	0	0
0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	4	0
0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
0	12	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	2	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	16	0	0	0	2	15	0	0	0	0	0	0	4	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0
0	0	0	0	0	0	0	4	0	0	0	6	0	0	4	0	0	0	4	0	0	0	0	0
0	0	0	0	0	2	0	0	2	14	0	0	0	0	0	0	0	12	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
0	0	0	12	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	0	0	0	6	0	0	0	8	24	0	0	0	0	0	18	4	0	0	0	4
0	0	22	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
0	2	0	0	0	0	0	0	0	0	0	4	2	0	2	0	0	0	2	0	0	0	0	0
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	8	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
0	0	0	0	0	0	0	4	8	0	0	2	0	4	0	0	2	0	0	2	2	0	0	0
0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	22
0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	4	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0
0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0
0	0	0	0	0	0	2	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	10
0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
0	0	0	2	0	0	0	4	2	0	0	6	0	0	0	0	0	0	10	0	5	0	0	0
0	0	0	0	0	0	0	0	16	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	4	0	0	0	2	0	0	34	0	0	0	0	0	0	0	0	2
